targetName	canonicalName	previousNames	nation	tier	type	attribute	oldValue	newValue	version	notes	trend	shipStatus	tags	sourceSheet
Akagi	Akagi		日本	8		Скорость штурмовиков и тактических штурмовиков	140	155 узлов	26.7	官方公告：https://blog.korabli.su/blog/692	buff	test		Korabli #692
Akagi	Akagi		日本	8		Максимальная скорость штурмовиков и тактических штурмовиков	174	193 узлов	26.7	官方公告：https://blog.korabli.su/blog/692	buff	test		Korabli #692
New Jersey	New Jersey		美国	10	战列舰	Количество очков боеспособности	79700	84700 ед	26.7	官方公告：https://blog.korabli.su/blog/690	buff	test		Korabli #690
Virginia	Virginia		美国	11	战列舰	Время перезарядки орудий ГК	31,5	32 с	26.7	官方公告：https://blog.korabli.su/blog/690	nerf	test		Korabli #690
Shenandoah	Shenandoah		美国	10	巡洋舰	Дальность стрельбы орудий ГК	16	16,2 км	26.7	官方公告：https://blog.korabli.su/blog/690	buff	test		Korabli #690
Shenandoah	Shenandoah		美国	10	巡洋舰	Изменены параметры серии залпов: Время перезарядки 1-го залпа	4,8	4,7 с	26.7	官方公告：https://blog.korabli.su/blog/690	buff	test		Korabli #690
Shenandoah	Shenandoah		美国	10	巡洋舰	Время перезарядки 2–3-го залпов	9,6	9,4 с	26.7	官方公告：https://blog.korabli.su/blog/690	buff	test		Korabli #690
Shenandoah	Shenandoah		美国	10	巡洋舰	Заметность с кораблей	11,6	11,4 км	26.7	官方公告：https://blog.korabli.su/blog/690	buff	test		Korabli #690
Jenkins	Jenkins		美国	11	驱逐舰	Время перезарядки торпедных аппаратов	140	150 с	26.7	官方公告：https://blog.korabli.su/blog/690	nerf	test		Korabli #690
Akagi	Akagi		日本	8		Изменены параметры стандартных бомбардировщиков Снижена точность сброса бомб примерно на 20%	—	—	26.7	官方公告：https://blog.korabli.su/blog/690	adjustment	test		Korabli #690
Akagi	Akagi		日本	8		Максимальный урон ББ-бомбы	5900	5500 ед	26.7	官方公告：https://blog.korabli.su/blog/690	nerf	test		Korabli #690
Akagi	Akagi		日本	8		Крейсерская скорость стандартных и тактических бомбардировщиков увеличена со 120 до 130 уз	—	—	26.7	官方公告：https://blog.korabli.su/blog/690	adjustment	test		Korabli #690
Akagi	Akagi		日本	8		Крейсерская скорость стандартных и тактических штурмовиков увеличена со 135 до 140 уз	—	—	26.7	官方公告：https://blog.korabli.su/blog/690	adjustment	test		Korabli #690
Akagi	Akagi		日本	8		Максимальный урон ОФ-ракет стандартных штурмовиков	3150	3500 ед	26.7	官方公告：https://blog.korabli.su/blog/690	buff	test		Korabli #690
Akagi	Akagi		日本	8		Максимальный урон ББ-ракет тактических штурмовиков	2500	2200 ед	26.7	官方公告：https://blog.korabli.su/blog/690	nerf	test		Korabli #690
ГДР	ГДР		苏联	10	战列舰	Заметность с кораблей	16,5	15,0 км	26.7	官方公告：https://blog.korabli.su/blog/690	buff	test		Korabli #690
ГДР	ГДР		苏联	10	战列舰	Дальность хода торпед	14	15 км	26.7	官方公告：https://blog.korabli.su/blog/690	buff	test		Korabli #690
Wotan	Wotan		德国	10	巡洋舰	Время перезарядки орудий ГК	30	29 с	26.7	官方公告：https://blog.korabli.su/blog/689	buff	test		Korabli #689
New Jersey	New Jersey		美国	10	战列舰	Время перезарядки орудий ГК	30	29 с	26.7	官方公告：https://blog.korabli.su/blog/689	buff	test		Korabli #689
Virginia	Virginia		美国	11	战列舰	Заметность с кораблей	14,8	15,0 км	26.7	官方公告：https://blog.korabli.su/blog/689	nerf	test		Korabli #689
Chōkai	Chōkai		日本	9	巡洋舰	Время перезарядки орудий ГК	15	16	26.7	官方公告：https://blog.korabli.su/blog/689	nerf	test		Korabli #689
Sim&oacute;n Bol&iacute;var	Sim&oacute;n Bol&iacute;var		泛美	10	巡洋舰	Исправлена ошибка, из-за которой в редких ситуациях (например, в режиме «Гонка вооружений») крейсер получал слишком пониженный урон в уничтоженные части корабля (то есть даже меньше, чем 1/10 от урона снаряда)	—	—	26.7	官方公告：https://blog.korabli.su/blog/689	adjustment	test		Korabli #689
Sim&oacute;n Bol&iacute;var	Sim&oacute;n Bol&iacute;var		泛美	10	巡洋舰	Учёт урона для восстановления боеспособности у снаряжения «Боевой ремонт»	50	60%	26.7	官方公告：https://blog.korabli.su/blog/689	buff	test		Korabli #689
Наварин	Наварин		苏联	9	战列舰	Исправлена ошибка, из-за которой разные типы установок ПМК у линкора «Наварин» имели одинаковые снаряды. В связи с этим спаренные 130-м установки корабля получили новый ОФ-снаряд со следующими настройками: Урон снаряда: 1900 ед	—	—	26.7	官方公告：https://blog.korabli.su/blog/689	adjustment	test		Korabli #689
Belfast '43	Belfast '43		英国	8	巡洋舰	Толщина обшивки оконечностей	16	25 мм	26.6	官方公告：https://blog.korabli.su/blog/684	adjustment	released		Korabli #684
Belfast '43	Belfast '43		英国	8	巡洋舰	Толщина обшивки центральной части верхнего борта	19	25 мм	26.6	官方公告：https://blog.korabli.su/blog/684	adjustment	released		Korabli #684
Belfast '43	Belfast '43		英国	8	巡洋舰	Толщина обшивки центральной части верхней палубы	19	27 мм	26.6	官方公告：https://blog.korabli.su/blog/684	adjustment	released		Korabli #684
К-1	К-1		苏联	10	潜艇	Максимальная скорость хода	34,5	32,5 узлов	26.6	官方公告：https://blog.korabli.su/blog/684	nerf	released		Korabli #684
К-1	К-1		苏联	10	潜艇	Радиус циркуляции	680	660 м	26.6	官方公告：https://blog.korabli.su/blog/684	buff	released		Korabli #684
К-1	К-1		苏联	10	潜艇	Заметность с кораблей	5,6	5,8 км	26.6	官方公告：https://blog.korabli.su/blog/684	nerf	released		Korabli #684
К-1	К-1		苏联	10	潜艇	Количество нанесённого с вашей помощью урона, необходимое для активации эффекта от навыка,	20 000	24 000 ед	26.6	官方公告：https://blog.korabli.su/blog/684	buff	released		Korabli #684
К-1	К-1		苏联	10	潜艇	Бонус к максимальной скорости погружения и всплытия	+10	+7%	26.6	官方公告：https://blog.korabli.su/blog/684	nerf	released		Korabli #684
Oregon	Oregon		美国	8	战列舰	Параметр сигма орудий ГК	2	1,9	26.5	官方公告：https://blog.korabli.su/blog/683	adjustment	test		Korabli #683
Oregon	Oregon		美国	8	战列舰	Время перезарядки орудий ГК	28	30 с	26.5	官方公告：https://blog.korabli.su/blog/683	nerf	test		Korabli #683
Northampton	Northampton		美国	10	巡洋舰	Время перезарядки орудий ГК	3,5	2,5 с	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Northampton	Northampton		美国	10	巡洋舰	Время перезарядки эскадрильи разведчиков	250	200 с	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Northampton	Northampton		美国	10	巡洋舰	Боеспособность самолётов-разведчиков	1250	1500	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Northampton	Northampton		美国	10	巡洋舰	Время перезарядки эскадрильи корректировщиков сопровождения	90	70 с	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Wotan	Wotan		德国	10	巡洋舰	ББ-снарядам добавлены улучшенные углы рикошета аналогично крейсеру «Севастополь»	—	—	26.5	官方公告：https://blog.korabli.su/blog/683	adjustment	test		Korabli #683
Wotan	Wotan		德国	10	巡洋舰	Восстановление боеспособности в секунду при активации боевых инструкций	2000	2500	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Wotan	Wotan		德国	10	巡洋舰	Время работы боевых инструкций	4	5 с	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Stonewall	Stonewall		美国	11	驱逐舰	Время работы «Корректировщика огня ускоренного темпа» уменьшено со 100 до 60 с	—	—	26.5	官方公告：https://blog.korabli.su/blog/683	adjustment	test		Korabli #683
Stonewall	Stonewall		美国	11	驱逐舰	Время перезарядки «Корректировщика огня ускоренного темпа» уменьшено со 15 до 10 с	—	—	26.5	官方公告：https://blog.korabli.su/blog/683	adjustment	test		Korabli #683
Stonewall	Stonewall		美国	11	驱逐舰	Точность стрельбы ПМК уменьшена: теперь она находится между Schlieffen и Preussen	—	—	26.5	官方公告：https://blog.korabli.su/blog/683	adjustment	test		Korabli #683
Connecticut	Connecticut		美国	7	战列舰	Время перезарядки орудий ПМК	4,2	4 с	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Washington	Washington		美国	8	战列舰	Время перезарядки орудий ПМК	5,3	5,1 с	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Indiana	Indiana		美国	9	战列舰	Дальность стрельбы орудий ПМК	7,5	7,7 км	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Indiana	Indiana		美国	9	战列舰	Время перезарядки орудий ПМК	5	4,8 с	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
New Jersey	New Jersey		美国	10	战列舰	Параметр сигма орудий ГК	1,7	1,8	26.5	官方公告：https://blog.korabli.su/blog/683	adjustment	test		Korabli #683
New Jersey	New Jersey		美国	10	战列舰	Дальность стрельбы орудий ПМК	7,5	7,7 км	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
New Jersey	New Jersey		美国	10	战列舰	Время перезарядки орудий ПМК	4,5	4,3 с	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Virginia	Virginia		美国	11	战列舰	Дальность стрельбы орудий ПМК	7,5	8 км	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Virginia	Virginia		美国	11	战列舰	Время перезарядки орудий ПМК	3,1	3 с	26.5	官方公告：https://blog.korabli.su/blog/683	buff	test		Korabli #683
Plymouth	Plymouth		英国	10	巡洋舰	Толщина внешней обшивки	16	19 мм	26.5	官方公告：https://blog.korabli.su/blog/683	adjustment	test		Korabli #683
Plymouth	Plymouth		英国	10	巡洋舰	Снаряжение «Ремонтная команда» заменена на снаряжение «Ремонтный дивизон» идентичный крейсеру Minotaur	—	—	26.5	官方公告：https://blog.korabli.su/blog/683	adjustment	test		Korabli #683
Brisbane	Brisbane		英联邦	10	巡洋舰	Толщина внешней обшивки	16	19 мм	26.5	官方公告：https://blog.korabli.su/blog/683	adjustment	test		Korabli #683
Leander	Leander		英国	6	巡洋舰	Толщина внешней обшивки корпуса была	13	16 мм	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Edinburgh	Edinburgh		英国	8	巡洋舰	Толщина внешней обшивки корпуса была	16	19 мм	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Chungking	Chungking		泛亚	5	巡洋舰	Максимальная дальность стрельбы при использовании базового модуля СУО	10,9	11,8 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Chungking	Chungking		泛亚	5	巡洋舰	Максимальная дальность стрельбы при использовании исследуемого модуля СУО	12	13 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Chungking	Chungking		泛亚	5	巡洋舰	Время перезарядки торпед	115	96 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Chungking	Chungking		泛亚	5	巡洋舰	Время поворота орудий ГК на 180 градусов	25,7	18 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Chungking	Chungking		泛亚	5	巡洋舰	Дальность хода торпед	9,5	10 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Chungking	Chungking		泛亚	5	巡洋舰	Время перезарядки ГК на базовом корпусе	10,5	9,5 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Chungking	Chungking		泛亚	5	巡洋舰	Время перезарядки ГК на исследуемом корпусе	9,5	8,3 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Rahmat	Rahmat		泛亚	6	巡洋舰	Максимальная дальность стрельбы при использовании базового модуля СУО	11,4	12,1 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Rahmat	Rahmat		泛亚	6	巡洋舰	Максимальная дальность стрельбы при использовании исследуемого модуля СУО	12,5	13,3 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Rahmat	Rahmat		泛亚	6	巡洋舰	Дальность хода торпед	9,5	10 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Chumphon	Chumphon		泛亚	7	巡洋舰	Максимальная дальность стрельбы при использовании базового модуля СУО	12	12,5 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Chumphon	Chumphon		泛亚	7	巡洋舰	Максимальная дальность стрельбы при использовании исследуемого модуля СУО	13,2	13,8 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Chumphon	Chumphon		泛亚	7	巡洋舰	Дальность хода торпед	10,5	11 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Harbin	Harbin		泛亚	8	巡洋舰	Максимальная дальность стрельбы при использовании базового модуля СУО	12,3	12,6 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Harbin	Harbin		泛亚	8	巡洋舰	Максимальная дальность стрельбы при использовании исследуемого модуля СУО	13,5	13,9 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Harbin	Harbin		泛亚	8	巡洋舰	Время перезарядки ТА	125	110 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Sejong	Sejong		泛亚	9	巡洋舰	Максимальная дальность стрельбы при использовании базового модуля СУО	12,7	13,1 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Sejong	Sejong		泛亚	9	巡洋舰	Максимальная дальность стрельбы при использовании исследуемого модуля СУО	14,0	14,4 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Sejong	Sejong		泛亚	9	巡洋舰	Время перезарядки ГК	4,8	4,7 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Sejong	Sejong		泛亚	9	巡洋舰	Время перезарядки ТА	125	120 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Asturias	Asturias		西班牙	7	巡洋舰	Максимальная дальность стрельбы при использовании базового модуля СУО	14,3	15,7 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Asturias	Asturias		西班牙	7	巡洋舰	Максимальная дальность стрельбы при использовании исследуемого модуля СУО	15,7	17,3 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Asturias	Asturias		西班牙	7	巡洋舰	Бронирование центральной части верхней палубы	25	27 мм	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Asturias	Asturias		西班牙	7	巡洋舰	Количество зарядов снаряжения «Ремонтная команда»	2	3	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Catalu&ntilde;a	Catalu&ntilde;a		西班牙	8	巡洋舰	Максимальная дальность стрельбы при использовании базового модуля СУО	15,0	16,5 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Catalu&ntilde;a	Catalu&ntilde;a		西班牙	8	巡洋舰	Максимальная дальность стрельбы при использовании исследуемого модуля СУО	16,5	18,2 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Catalu&ntilde;a	Catalu&ntilde;a		西班牙	8	巡洋舰	Бронирование центральной части верхней палубы	27	30 мм	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Catalu&ntilde;a	Catalu&ntilde;a		西班牙	8	巡洋舰	Количество зарядов снаряжения «Ремонтная команда»	3	4	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Andaluc&iacute;a	Andaluc&iacute;a		西班牙	9	巡洋舰	Максимальная дальность стрельбы при использовании базового модуля СУО	15,2	16,7 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Andaluc&iacute;a	Andaluc&iacute;a		西班牙	9	巡洋舰	Максимальная дальность стрельбы при использовании исследуемого модуля СУО	16,7	18,4 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Andaluc&iacute;a	Andaluc&iacute;a		西班牙	9	巡洋舰	Бронирование центральной части верхней палубы	27	40 мм	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Andaluc&iacute;a	Andaluc&iacute;a		西班牙	9	巡洋舰	Количество зарядов снаряжения «Ремонтная команда»	3	4	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Castilla	Castilla		西班牙	10	巡洋舰	Максимальная дальность стрельбы ГК	17,1 км.	18,9 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Castilla	Castilla		西班牙	10	巡洋舰	Бронирование центральной части верхней палубы	30	40 мм	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Castilla	Castilla		西班牙	10	巡洋舰	Количество зарядов снаряжения «Ремонтная команда»	3	4	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
C&oacute;rdoba	C&oacute;rdoba		泛美	4	巡洋舰	Дальность работы снаряжения «Гидроакустический поиск»	3	4 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Coronel Bolognesi	Coronel Bolognesi		泛美	7	巡洋舰	Время перезарядки ГК	6,5 с	6,3 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Ignacio Allende	Ignacio Allende		泛美	8	巡洋舰	Дальность обнаружения кораблей снаряжения «Гидроакустический поиск»	3	5 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Ignacio Allende	Ignacio Allende		泛美	8	巡洋舰	Дальность обнаружения торпед снаряжения «Гидроакустический поиск»	3	3,5 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Ignacio Allende	Ignacio Allende		泛美	8	巡洋舰	Дальность обнаружения мин снаряжения «Гидроакустический поиск»	0,8	0,9 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Ignacio Allende	Ignacio Allende		泛美	8	巡洋舰	Время перезарядки ГК	7 с	6,7 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Santander	Santander		泛美	9	巡洋舰	Дальность обнаружения кораблей снаряжения «Гидроакустический поиск»	3	5 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Santander	Santander		泛美	9	巡洋舰	Дальность обнаружения торпед снаряжения «Гидроакустический поиск»	3	3,5 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Santander	Santander		泛美	9	巡洋舰	Дальность обнаружения мин снаряжения «Гидроакустический поиск»	0,8	0,9 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Santander	Santander		泛美	9	巡洋舰	Время перезарядки ГК	7 с	6,7 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Santander	Santander		泛美	9	巡洋舰	Дальность действия РЛС	9	10 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
San Mart&iacute;n	San Mart&iacute;n		泛美	10	巡洋舰	Дальность обнаружения кораблей снаряжения «Гидроакустический поиск»	3	5 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
San Mart&iacute;n	San Mart&iacute;n		泛美	10	巡洋舰	Дальность обнаружения торпед снаряжения «Гидроакустический поиск»	3	3,5 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
San Mart&iacute;n	San Mart&iacute;n		泛美	10	巡洋舰	Дальность обнаружения мин снаряжения «Гидроакустический поиск»	0,8	0,9 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
San Mart&iacute;n	San Mart&iacute;n		泛美	10	巡洋舰	Время перезарядки ГК	6 с	5,7 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
San Mart&iacute;n	San Mart&iacute;n		泛美	10	巡洋舰	Дальность действия снаряжения «Поисковая РЛС»	9	10 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Nebraska	Nebraska		美国	8	战列舰	Время перезарядки ГК	28	27 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Nebraska	Nebraska		美国	8	战列舰	Уменьшена потеря скорости при циркуляции	—	—	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Delaware	Delaware		美国	9	战列舰	Время перезарядки ГК	30	28 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Delaware	Delaware		美国	9	战列舰	Уменьшена потеря скорости при циркуляции	—	—	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Louisiana	Louisiana		美国	10	战列舰	Время перезарядки ГК	30	28 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Louisiana	Louisiana		美国	10	战列舰	Уменьшена потеря скорости при циркуляции	—	—	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Charles Martel	Charles Martel		法国	8	巡洋舰	Изменена баллистика снарядов для исследуемых орудий. Они будут лететь по более настильной траектории	—	—	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Saint-Louis	Saint-Louis		法国	9	巡洋舰	Изменена баллистика снарядов. Они будут лететь по более настильной траектории	—	—	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Henri IV	Henri IV		法国	10	巡洋舰	Изменена баллистика снарядов. Они будут лететь по более настильной траектории	—	—	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Cond&eacute;	Cond&eacute;		法国	11	巡洋舰	Время перезарядки ГК	15	15,5 с	26.6	官方公告：https://blog.korabli.su/blog/682	nerf	released		Korabli #682
Cond&eacute;	Cond&eacute;		法国	11	巡洋舰	Изменена баллистика снарядов. Они будут лететь по более настильной траектории	—	—	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
North Carolina	North Carolina		美国	8	战列舰	Время перезарядки ГК	30	28,5 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Halford	Halford		美国	9	驱逐舰	Дальность стрельбы ГК	10,2	11 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Halford	Halford		美国	9	驱逐舰	Время перезарядки торпед	100	85 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Indomitable	Indomitable		英国	8		Время восстановления бомбардировщиков	117	105 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Indomitable	Indomitable		英国	8		Время восстановления штурмовиков	115	100 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Hawke	Hawke		英国	8	战列舰	Снаряжение «Ремонтная команда» заменено на снаряжение «Ремонтный дивизион» по характеристикам аналогичное линкору IX Duncan	—	—	26.6	官方公告：https://blog.korabli.su/blog/682	adjustment	released		Korabli #682
Bernadotte	Bernadotte		法国	9	战列舰	Время перезарядки орудий ГК	26	27 с	26.6	官方公告：https://blog.korabli.su/blog/682	nerf	released		Korabli #682
Bernadotte	Bernadotte		法国	9	战列舰	Время перезарядки 120-мм ПМК	3	3,3 с	26.6	官方公告：https://blog.korabli.su/blog/682	nerf	released		Korabli #682
Bernadotte	Bernadotte		法国	9	战列舰	Время перезарядки 150-мм ПМК	7,5	7,8 с	26.6	官方公告：https://blog.korabli.su/blog/682	nerf	released		Korabli #682
Voltigeur	Voltigeur		法国	10	驱逐舰	Дальность хода торпед	9	9,5 км	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
Voltigeur	Voltigeur		法国	10	驱逐舰	Время перезарядки торпед	120	110 с	26.6	官方公告：https://blog.korabli.su/blog/682	buff	released		Korabli #682
